time,amps,volt
1586341729.243, 2.884864E-05, 5.201649E000
1586341739.638, 4.808107E-06, 5.197436E000
1586341749.765, 2.404053E-05, 5.200879E000
1586341759.897, 9.616215E-06, 5.201411E000
1586341771.932, 2.884864E-05, 5.200916E000
1586341780.102, 2.404053E-05, 5.201374E000
1586341790.238, 1.923242E-05, 5.201044E000
1586341800.332, 1.260685E-01, 5.137844E000
1586341810.467, 1.187650E-01, 5.141087E000
1586341820.747, 1.254579E-01, 5.137881E000
1586341830.890, 1.162504E-01, 5.144073E000
1586341840.985, 2.884864E-05, 5.202968E000
1586341851.250, 2.404053E-05, 5.207511E000
1586341861.315, 3.365675E-05, 5.207547E000
1586341871.450, 1.442432E-05, 5.208335E000
1586341881.642, 1.923242E-05, 5.207932E000
1586341891.735, 3.365675E-05, 5.207841E000
1586341901.822, 2.404053E-05, 5.209416E000
1586341911.902, 1.923242E-05, 5.209105E000
1586341921.987, 4.808107E-06, 5.208866E000
1586341932.127, 3.846485E-05, 5.208079E000
1586341942.224, 1.923242E-05, 5.207474E000
1586341952.313, 1.923242E-05, 5.208482E000
1586341962.395, 0.000000E000, 5.208262E000
1586341972.577, 4.327297E-05, 5.210241E000
1586341982.668, 2.884864E-05, 5.210149E000
1586341992.706, 9.616215E-06, 5.208720E000
1586342002.840, 2.884864E-05, 5.209196E000
1586342013.029, 2.884864E-05, 5.209709E000
1586342023.129, 2.404053E-05, 5.210607E000
1586342033.255, 1.442432E-05, 5.211083E000
1586342043.338, 1.923242E-05, 5.210625E000
1586342053.519, 1.923242E-05, 5.211578E000
1586342063.707, 3.365675E-05, 5.210002E000
1586342073.796, 3.846485E-05, 5.210332E000
1586342083.926,-2.404053E-05, 5.210809E000
1586342094.024, 3.365675E-05, 5.210698E000
1586342104.207, 9.616215E-06, 5.212548E000
1586342114.298, 7.224662E-02, 5.177614E000
1586342124.525, 1.191016E-01, 5.154075E000
1586342134.625, 6.250539E-05, 4.165917E000
1586342144.730, 7.212162E-05, 4.226259E000
1586342154.820,-1.442432E-05, 3.120458E000
1586342164.917,-1.923242E-05, 1.154090E-03
1586342175.015, 4.808107E-06, 5.129289E-04
1586342185.117,-4.808107E-06, 7.144367E-04
1586342195.202,-1.923242E-05,-1.300641E-03
1586342205.303,-1.923242E-05, 3.663778E-05
1586342215.455, 0.000000E000, 1.557105E-03
1586342225.600, 4.808107E-06,-5.129289E-04
1586342235.694,-4.808107E-06,-1.099133E-03
1586342246.040,-9.616215E-06, 9.067851E-03
1586342256.120, 4.808107E-06,-8.976257E-04
1586342266.220,-2.404053E-05, 4.598408E000
1586342276.305,-1.923242E-05, 4.910360E000
1586342286.650,-1.923242E-05, 7.383429E000
1586342296.782,-9.616215E-06, 7.402884E000
1586342306.877,-2.404053E-05, 7.402352E000
1586342316.977,-2.884864E-05, 7.414717E000
1586342327.120, 2.067486E-04, 4.278340E000
1586342337.225, 1.923242E-04, 3.672589E000
1586342347.322, 2.307891E-04, 4.275244E000
1586342357.516, 3.146185E-01, 4.390617E000
1586342367.611, 3.023819E-01, 4.387576E000
1586342377.814, 2.988671E-01, 4.397065E000
1586342387.908, 3.094834E-01, 4.397853E000
1586342398.096, 3.049350E-01, 4.394152E000
1586342408.198, 3.184794E-01, 4.390104E000
1586342418.430, 1.103364E-01, 5.238012E000
1586342428.562, 2.777211E-01, 5.223962E000
1586342438.651, 6.700578E-02, 5.169023E000
1586342448.795, 5.724052E-02, 5.166330E000
1586342458.987, 6.847226E-02, 5.170177E000
1586342469.092, 6.277466E-02, 5.168327E000
1586342479.184, 1.077448E-01, 1.186990E000
1586342489.284, 5.859641E-02, 5.173218E000
1586342499.385, 1.001096E-01, 1.117745E000
1586342509.477, 1.094517E-01, 9.336406E-01
1586342519.580, 5.694242E-02, 5.173035E000
1586342529.685, 5.696165E-02, 5.173145E000
1586342539.776, 2.591281E-01, 5.243801E000
1586342549.874, 2.464924E-01, 5.231637E000
1586342560.010, 2.595272E-01, 5.236235E000
1586342570.117, 2.563586E-01, 5.234971E000
1586342580.257, 6.886172E-02, 5.170342E000
1586342590.400, 6.659229E-02, 5.169481E000
1586342600.540, 5.530286E-02, 5.165469E000
1586342610.637, 6.879921E-02, 5.170122E000
1586342620.725, 6.870305E-02, 5.169957E000
1586342630.920, 6.686154E-02, 5.169371E000
1586342641.058, 6.379878E-02, 5.168235E000
1586342651.197, 6.853476E-02, 5.169829E000
1586342661.287, 6.578934E-02, 5.169573E000
1586342671.382, 6.877998E-02, 5.169738E000
1586342683.413, 5.984651E-02, 5.166825E000
1586342693.415, 6.915501E-02, 5.170067E000
1586342703.380, 6.892903E-02, 5.169957E000
1586342713.362, 6.273618E-02, 5.167668E000
1586342723.363, 6.916463E-02, 5.169884E000
1586342733.363, 6.926560E-02, 5.169939E000
1586342743.313, 6.916463E-02, 5.169829E000
1586342753.313, 6.922713E-02, 5.169976E000
1586342763.313, 6.951562E-02, 5.169957E000
1586342773.313, 5.962534E-02, 5.166605E000
1586342783.362, 6.958774E-02, 5.169994E000
1586342793.374, 6.944830E-02, 5.169408E000
1586342805.357, 6.936657E-02, 5.169536E000
1586342815.356, 6.890018E-02, 5.169335E000
1586342825.357, 6.931368E-02, 5.169481E000
1586342835.357, 6.547200E-02, 5.167997E000
1586342845.357, 6.489503E-02, 5.167722E000
1586342855.359, 6.750583E-02, 5.168492E000
1586342865.358, 6.757796E-02, 5.168528E000
1586342875.357, 2.703358E-01, 5.238983E000
1586342885.356, 2.585560E-01, 5.234916E000
1586342895.357, 2.485839E-01, 5.231307E000
1586342905.357, 2.581857E-01, 5.234824E000
1586342915.356, 6.908289E-02, 5.169298E000
1586342925.357, 6.926560E-02, 5.169298E000
1586342935.358, 6.923194E-02, 5.169279E000
1586342945.358, 6.880402E-02, 5.169096E000
1586342955.357, 5.610100E-02, 5.164791E000
1586342965.357, 6.635189E-02, 5.168400E000
1586342975.357, 6.602974E-02, 5.168143E000
1586342985.357, 5.561057E-02, 5.164663E000
1586342995.357, 5.970708E-02, 5.166239E000
1586343005.357, 6.522197E-02, 5.168125E000
1586343015.357, 5.234106E-02, 5.163619E000
1586343025.357, 5.534132E-02, 5.164572E000
1586343035.357, 6.499600E-02, 5.167960E000
1586343045.357, 7.678067E-02, 5.172192E000
1586343055.357, 5.429796E-02, 5.164315E000
1586343065.407, 5.447586E-02, 5.164260E000
1586343075.356, 5.135059E-02, 5.163326E000
1586343085.357, 5.137944E-02, 5.163234E000
1586343095.359, 5.857237E-02, 5.165854E000
1586343105.358, 4.048426E-02, 5.159589E000
1586343115.357, 6.163032E-02, 5.166935E000
1586343125.357, 5.399024E-02, 5.164370E000
1586343135.357, 5.345173E-02, 5.164114E000
1586343145.359, 5.342288E-02, 5.164242E000
1586343155.357, 5.422583E-02, 5.164425E000
1586343165.407, 4.904751E-02, 5.162685E000
1586343175.408, 5.391331E-02, 5.164315E000
1586343185.408, 5.212469E-02, 5.163656E000
1586343195.409, 5.214393E-02, 5.163766E000
1586343205.407, 4.911001E-02, 5.162575E000
1586343215.407, 2.742544E-01, 5.241621E000
1586343225.357, 2.428094E-01, 5.230757E000
1586343235.409, 2.532670E-01, 5.234348E000
1586343245.408, 2.236587E-01, 5.223980E000
1586343255.406, 7.366502E-02, 5.171258E000
1586343265.407, 5.960611E-02, 5.166550E000
1586343275.409, 4.862920E-02, 5.162465E000
1586343285.407, 4.820128E-02, 5.162556E000
1586343295.408, 4.777817E-02, 5.162300E000
1586343305.409, 5.430277E-02, 5.164498E000
1586343315.407, 3.932551E-02, 5.159333E000
1586343325.407, 3.980632E-02, 5.159405E000
1586343335.406, 4.178726E-02, 5.160376E000
1586343345.409, 3.946014E-02, 5.159552E000
1586343355.409, 3.874853E-02, 5.159369E000
1586343365.407, 4.850419E-02, 5.162904E000
1586343375.408, 5.512976E-02, 5.165066E000
1586343385.407, 3.876296E-02, 5.159314E000
1586343395.407, 3.938321E-02, 5.159534E000
1586343405.407, 4.353741E-02, 5.160963E000
1586343415.407, 3.993614E-02, 5.159644E000
1586343425.407, 3.881104E-02, 5.159149E000
1586343435.409, 3.865718E-02, 5.159222E000
1586343445.407, 4.126318E-02, 5.160138E000
1586343455.409, 3.932070E-02, 5.159516E000
1586343465.407, 3.964765E-02, 5.159333E000
1586343475.407, 3.941686E-02, 5.159259E000
1586343485.407, 4.796568E-02, 5.162520E000
1586343495.407, 4.628765E-02, 5.161860E000
1586343505.409, 4.153724E-02, 5.160156E000
1586343515.409, 4.784067E-02, 5.162300E000
1586343525.408, 4.787433E-02, 5.162502E000
1586343535.407, 3.927743E-02, 5.159405E000
1586343545.407, 3.946014E-02, 5.159516E000
1586343555.407, 2.473338E-01, 5.232846E000
1586343565.409, 2.463145E-01, 5.232700E000
1586343575.409, 2.233029E-01, 5.224676E000
1586343585.407, 7.810290E-02, 5.173456E000
1586343595.407, 4.606167E-02, 5.162135E000
1586343605.407, 4.897058E-02, 5.163033E000
1586343615.410, 3.800328E-02, 5.159186E000
1586343625.407, 3.793597E-02, 5.159369E000
1586343635.407, 3.935917E-02, 5.159919E000
1586343645.407, 3.766671E-02, 5.159168E000
1586343655.407, 4.200844E-02, 5.161018E000
1586343665.407, 4.305660E-02, 5.161109E000
1586343675.409, 4.091219E-02, 5.160724E000
1586343685.408, 3.753689E-02, 5.159424E000
1586343695.407, 5.052840E-02, 5.163930E000
1586343705.407, 3.974862E-02, 5.160285E000
1586343715.407, 4.281139E-02, 5.161567E000
1586343725.409, 4.559047E-02, 5.162483E000
1586343735.407, 4.621553E-02, 5.163014E000
1586343745.407, 3.636372E-02, 5.159296E000
1586343755.409, 4.205170E-02, 5.161201E000
1586343765.407, 3.596464E-02, 5.159094E000
1586343775.409, 3.667624E-02, 5.159442E000
1586343785.407, 3.608484E-02, 5.159314E000
1586343795.407, 3.765229E-02, 5.159754E000
1586343805.407, 4.610975E-02, 5.162667E000
1586343815.410, 5.245645E-02, 5.165103E000
1586343825.410, 3.985440E-02, 5.160688E000
1586343835.409, 3.655123E-02, 5.159424E000
1586343845.407, 3.585887E-02, 5.159222E000
1586343855.406, 4.325373E-02, 5.161897E000
1586343865.410, 3.708974E-02, 5.159589E000
1586343875.407, 3.678683E-02, 5.159479E000
1586343885.408, 1.513832E-01, 5.200110E000
1586343895.408, 2.261589E-01, 5.226911E000
1586343905.407, 2.410448E-01, 5.232535E000
1586343915.407, 2.205335E-01, 5.224969E000
1586343925.407, 3.650315E-02, 5.159699E000
1586343935.409, 3.980151E-02, 5.161018E000
1586343945.407, 4.024386E-02, 5.160981E000
1586343955.409, 3.604157E-02, 5.159552E000
1586343965.409, 3.611369E-02, 5.159589E000
1586343975.408, 4.282582E-02, 5.161970E000
1586343985.356, 4.207575E-02, 5.161842E000
1586343995.359, 3.561365E-02, 5.159516E000
1586344005.358, 3.534920E-02, 5.159589E000
1586344015.357, 5.010529E-02, 5.164809E000
1586344025.357, 4.376340E-02, 5.162667E000
1586344035.357, 3.634929E-02, 5.160084E000
1586344045.357, 3.655604E-02, 5.160138E000
1586344055.357, 3.795520E-02, 5.160615E000
1586344065.357, 3.583482E-02, 5.159955E000
1586344075.359, 3.633487E-02, 5.159973E000
1586344085.358, 3.608484E-02, 5.160156E000
1586344095.357, 3.638295E-02, 5.160212E000
1586344105.357, 3.647911E-02, 5.160156E000
1586344115.356, 3.582521E-02, 5.160102E000
1586344125.360, 3.555595E-02, 5.160212E000
1586344135.357, 3.582521E-02, 5.160321E000
1586344145.357, 4.121990E-02, 5.162337E000
1586344155.359, 4.097950E-02, 5.162337E000
1586344165.356, 4.398456E-02, 5.163399E000
1586344175.357, 4.585492E-02, 5.164334E000
1586344185.357, 3.549345E-02, 5.160523E000
1586344195.357, 3.492128E-02, 5.160578E000
1586344205.359, 4.416247E-02, 5.164114E000
1586344215.357, 4.395571E-02, 5.164205E000
1586344225.358, 2.358377E-01, 5.232352E000
1586344235.357, 2.199661E-01, 5.227112E000
1586344245.357, 2.331259E-01, 5.231930E000
1586344255.357, 2.295967E-01, 5.231142E000
1586344265.357, 3.176716E-02, 5.161274E000
1586344275.359, 3.193545E-02, 5.161586E000
1586344285.357, 4.191708E-02, 5.165121E000
1586344295.357, 3.633006E-02, 5.163344E000
1586344305.358, 3.114211E-02, 5.161604E000
1586344315.357, 3.085362E-02, 5.161292E000
1586344325.357, 4.092661E-02, 5.165011E000
1586344335.407, 3.851294E-02, 5.164114E000
1586344345.358, 3.118057E-02, 5.161494E000
1586344355.407, 3.075746E-02, 5.161512E000
1586344365.417, 4.136415E-02, 5.165048E000
1586344374.112, 2.755526E-02, 5.160285E000
1586344384.162, 3.095459E-02, 5.161384E000
1586344396.194, 2.590127E-02, 5.159790E000
1586344406.142, 3.735418E-02, 5.164114E000
1586344416.092, 3.370483E-02, 5.162886E000
1586344426.142, 2.580030E-02, 5.160248E000
1586344436.143, 2.644459E-02, 5.160303E000
1586344446.142, 3.016126E-02, 5.161805E000
1586344456.143, 3.323364E-02, 5.162776E000
1586344466.143, 3.207969E-02, 5.162520E000
1586344476.143, 2.954101E-02, 5.161787E000
1586344486.145, 3.166139E-02, 5.162703E000
